Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Fwd IAT Mean,Bwd IAT Mean,Packet Length Mean,SYN Flag Count,ACK Flag Count,Label
161,2,2,72,136,1291925.466,24844.7205,53.66666667,3.0,49.0,48.8,0,0,0
31656,4,2,184,254,13836.23958,189.5375284,6331.2,10228.66667,3.0,69.14285714,0,0,0
7952801,4,0,24,0,3.01780467,0.502967445,2650933.667,2650933.667,0.0,6.0,0,1,1
42,1,1,2,6,190476.1905,47619.04762,42.0,0.0,0.0,3.333333333,0,0,1
94575,4,4,436,859,13692.83637,84.58895057,13510.71429,31523.33333,23737.0,143.8888889,0,0,0
61509,1,1,51,99,2438.667512,32.51556683,61509.0,0.0,0.0,67.0,0,0,0
3,2,0,0,0,0.0,666666.6667,3.0,3.0,0.0,0.0,0,1,0
198,2,2,82,114,989898.9899,20202.0202,66.0,49.0,3.0,47.4,0,0,0
70,1,2,0,0,0.0,42857.14286,35.0,0.0,47.0,0.0,0,1,0
4539127,33,39,679,75931,16877.6947637729,15.8620809684,63931.3661971831,141847.71875,35047.1315789474,1049.4520547945,0,0,0
214,2,2,46,46,429906.5421,18691.58879,71.33333333,49.0,49.0,23.0,0,0,0
187,2,2,82,114,1048128.34224599,21390.3743315508,62.3333333333,3.0,48.0,47.4,0,0,0
537813,4,2,231,0,429.5173229,11.1562941,107562.6,179271.0,684.0,33.0,0,0,1
89517,19,18,896,21645,251806.9194,413.3293118,2486.583333,4973.166667,3915.941176,593.1842105,0,0,0
177,2,2,62,94,881355.9322,22598.87006,59.0,3.0,1.0,37.4,0,0,0
22218,2,1,0,0,0.0,135.0256548744,11109.0,22218.0,0.0,0.0,0,1,0
253,2,2,80,336,1644268.775,15810.27668,84.33333333,47.0,47.0,91.2,0,0,0
74,1,1,0,0,0.0,27027.02703,74.0,0.0,0.0,0.0,0,1,0
48146,1,1,50,98,3073.9833007934,41.5403148756,48146.0,0.0,0.0,66.0,0,0,0
85546017,2,2,93,173,3.1094375791,0.0467584598,28515339.0,85522667.0,85498702.0,62.4,0,0,0
45,1,1,2,6,177777.7778,44444.44444,45.0,0.0,0.0,3.333333333,0,0,1
30428,1,1,44,72,3812.278165,65.72893388,30428.0,0.0,0.0,53.33333333,0,0,0
96806,10,9,528,4470,51629.03126,196.2688263,5378.111111,10756.22222,9086.25,249.9,0,0,0
82,1,1,0,6,73170.73171,24390.2439,82.0,0.0,0.0,2.0,0,0,1
245,2,2,84,162,1004081.633,16326.53061,81.66666667,49.0,48.0,57.6,0,0,0
25300,3,1,43,6,1936.758893,158.1027668,8433.333333,12605.0,0.0,11.0,0,1,0
203,2,2,78,358,2147783.251,19704.4335,67.66666667,4.0,48.0,95.0,0,0,0
220,2,1,29,6,159090.909090909,13636.3636363636,110.0,220.0,0.0,14.5,1,1,0
83671117,8,6,612,11595,145.8926382,0.167321777,6436239.769,11900000.0,72880.6,813.8,0,1,1
128983,2,2,94,302,3070.172038,31.01183877,42994.33333,1.0,3.0,88.6,0,0,0
5298691,9,5,344,2764,586.5599635835,2.6421619981,407591.615384615,662336.375,50223.75,207.2,0,0,0
339,3,1,43,6,144542.7729,11799.41003,113.0,114.0,0.0,11.0,0,1,0
4,2,0,12,0,3000000.0,500000.0,4.0,4.0,0.0,6.0,0,1,0
86042332,8,6,374,11595,139.1059461,0.162710606,6618640.923,12300000.0,283.8,797.9333333,0,1,1
30299,1,1,58,143,6633.882306,66.00877917,30299.0,0.0,0.0,86.33333333,0,0,0
18,13,0,585,0,32500000.0,722222.2222,1.5,1.5,0.0,45.0,0,0,0
48026,1,1,57,153,4372.631491,41.64410944,48026.0,0.0,0.0,89.0,0,0,0
24125,2,2,86,214,12435.23316,165.8031088,8041.666667,1.0,3.0,68.6,0,0,0
101469347,9,4,62,11607,115.0002473,0.128117509,8455778.917,12500000.0,450321.0,833.9285714,0,1,1
23988,2,2,66,98,6836.751709,166.7500417,7996.0,4.0,3.0,39.4,0,0,0
17882087,11,11,1008,5786,379.9332818,1.230281454,851527.9524,1079102.1,1777901.0,295.3913043,0,0,0
57,1,1,2,6,140350.8772,35087.7193,57.0,0.0,0.0,3.333333333,0,0,1
150,2,2,70,102,1146666.667,26666.66667,50.0,3.0,3.0,41.4,0,0,0
72,1,1,0,0,0.0,27777.77778,72.0,0.0,0.0,0.0,0,1,0
1000171,2,0,12,0,11.99794835,1.999658058,1000171.0,1000171.0,0.0,6.0,0,1,0
157,2,2,72,104,1121019.108,25477.70701,52.33333333,4.0,4.0,42.4,0,0,0
95566,7,5,376,3508,40642.06936,125.5676705,8687.818182,15927.66667,12497.5,298.7692308,0,0,0
86034635,8,6,410,11595,139.5368272,0.162725163,6618048.846,12300000.0,36388.8,800.3333333,0,1,1
31621,2,2,84,274,11321.5900825401,126.4982132127,10540.3333333333,1.0,4.0,80.0,0,0,0
496614,3,5,26,11607,23424.63161,16.10909076,70944.85714,525.0,124113.0,1292.555556,0,0,1
66026023,2,2,96,96,2.907944342,0.060582174,22000000.0,66000000.0,66000000.0,48.0,0,0,0
329,3,1,43,6,148936.1702,12158.05471,109.6666667,164.0,0.0,11.0,0,1,0
192300,1,1,43,132,910.0364015,10.40041602,192300.0,0.0,0.0,72.66666667,0,0,0
120,2,0,12,0,100000.0,16666.66667,120.0,120.0,0.0,6.0,0,1,0
30744,1,1,79,207,9302.628155,65.05334374,30744.0,0.0,0.0,121.6666667,0,0,0
5442722,8,4,367,3710,749.0737172,2.204779153,494792.9091,777531.7143,27741.0,313.6153846,0,0,0
2092017,7,9,1853,3820,2711.737046,7.648121406,139467.8,15195.83333,259487.0,333.7058824,0,0,0
3,2,0,0,0,0.0,666666.6667,3.0,3.0,0.0,0.0,0,1,1
2558,4,0,29,0,11336.9820172009,1563.721657545,852.6666666667,852.6666666667,0.0,5.8,0,1,0
191,2,2,46,46,481675.3927,20942.40838,63.66666667,3.0,48.0,23.0,0,0,0
69046,2,2,70,188,3736.639342,57.9323929,23015.33333,49.0,4.0,58.6,0,0,0
31229,2,2,88,218,9798.5846488841,128.0860738416,10409.6666666667,3.0,4.0,70.0,0,0,0
5504891,4,0,24,0,4.359759349,0.726626558,1834963.667,1834963.667,0.0,6.0,0,1,1
398,2,0,6,0,15075.3768844221,5025.1256281407,398.0,398.0,0.0,2.0,0,1,0
10304133,10,11,1211,8013,895.1747808,2.038017172,515206.65,1144695.222,1027171.0,419.2727273,0,0,0
862,2,2,62,94,180974.478,4640.37123,287.3333333,3.0,48.0,37.4,0,0,0
64064410,2,0,6,0,0.0936557443,0.0312185814,64064410.0,64064410.0,0.0,2.0,0,1,0
48102,2,2,80,200,5820.963785,83.1566255,16034.0,3.0,4.0,64.0,0,0,0
811692,12,6,2041,1140,3918.9741921813,22.1758992327,47746.5882352941,73790.1818181818,151439.8,167.4210526316,0,0,0
3,2,0,0,0,0.0,666666.6667,3.0,3.0,0.0,0.0,0,1,1
98698668,8,6,381,11595,121.3390235,0.141845886,7592205.231,14100000.0,6869.2,798.4,0,1,1
111204003,60,30,12090,9480,193.9678377,0.809323384,1249483.18,1884813.61,3834606.966,241.4615385,1,1,0
24173,2,2,76,108,7611.798287,165.4738758,8057.666667,4.0,3.0,44.4,0,0,0
5729971,3,1,0,0,0.0,0.698083812,1909990.333,2864985.5,0.0,0.0,0,0,0
37,1,1,6,6,324324.324324324,54054.0540540541,37.0,0.0,0.0,6.0,0,1,0
990,2,0,0,0,0.0,2020.20202,990.0,990.0,0.0,0.0,0,1,1
52,1,1,0,0,0.0,38461.53846,52.0,0.0,0.0,0.0,0,1,0
221,2,2,84,204,1303167.421,18099.54751,73.66666667,48.0,48.0,66.0,0,0,0
190,2,2,60,264,1705263.158,21052.63158,63.33333333,3.0,2.0,70.8,0,0,0
369,2,2,352,358,1924119.24119241,10840.108401084,123.0,4.0,3.0,177.2,0,0,0
60025,1,1,56,112,2798.833819,33.31945023,60025.0,0.0,0.0,74.66666667,0,0,0
48,1,1,0,6,125000.0,41666.66667,48.0,0.0,0.0,2.0,0,0,1
205,2,2,76,332,1990243.902,19512.19512,68.33333333,3.0,4.0,89.2,0,0,0
98250794,9,6,378,11595,121.8616106,0.152670522,7017913.857,12300000.0,6489.4,748.3125,0,1,1
4,2,0,247,0,61800000.0,500000.0,4.0,4.0,0.0,154.3333333,1,1,0
56720,2,2,86,194,4936.530324,70.52186178,18906.66667,47.0,48.0,64.6,0,0,0
211,2,2,76,140,1023696.682,18957.34597,70.33333333,49.0,3.0,50.8,0,0,0
9599,3,0,0,0,0.0,312.5325555,4799.5,4799.5,0.0,0.0,0,1,0
106,2,2,4,12,150943.3962,37735.84906,35.33333333,49.0,49.0,3.6,0,0,0
98438744,7,7,344,11595,121.2835466,0.142220425,7572211.077,16400000.0,25076.5,795.9333333,0,1,1
30762,2,2,88,218,9947.3376243417,130.0305571809,10254.0,3.0,4.0,70.0,0,0,0
46490,5,3,445,418,18563.1318563132,172.080017208,6641.4285714286,11622.5,11913.5,95.8888888889,0,0,0
2,2,0,12,0,6000000.0,1000000.0,2.0,2.0,0.0,6.0,0,1,0
7769,2,0,12,0,1544.600335,257.4333891,7769.0,7769.0,0.0,6.0,0,1,0
42,1,1,6,6,285714.285714286,47619.0476190476,42.0,0.0,0.0,6.0,0,1,0
46434,1,1,57,110,3596.5025627773,43.0718869794,46434.0,0.0,0.0,74.6666666667,0,0,0
201,2,2,130,386,2567164.17910448,19900.4975124378,67.0,3.0,3.0,116.2,0,0,0
52,1,1,2,6,153846.1538,38461.53846,52.0,0.0,0.0,3.333333333,0,0,0
213,2,2,92,248,1596244.1314554,18779.3427230047,71.0,1.0,1.0,77.2,0,0,0
20674820,2,2,114,234,16.8320691547,0.1934720592,6891606.66666667,20651616.0,19564499.0,80.8,0,0,0
115683389,23,20,720,8292,77.90228206,0.371704187,2754366.405,5258335.864,5929179.737,204.8181818,0,0,0
81107,1,1,0,0,0.0,24.65878408,81107.0,0.0,0.0,0.0,0,1,0
28138,2,2,72,194,9453.408202,142.1565143,9379.333333,0.0,2.0,60.4,0,0,0
50,1,1,2,6,160000.0,40000.0,50.0,0.0,0.0,3.333333333,0,0,1
54,1,1,6,6,222222.2222,37037.03704,54.0,0.0,0.0,6.0,0,1,0
3,2,0,12,0,4000000.0,666666.6667,3.0,3.0,0.0,6.0,0,1,0
471590,1,1,42,58,212.0486015395,4.2409720308,471590.0,0.0,0.0,47.3333333333,0,0,0
24632,2,1,0,0,0.0,121.7927898668,12316.0,24632.0,0.0,0.0,0,1,0
199,2,2,64,96,804020.1005,20100.50251,66.33333333,48.0,47.0,38.4,0,0,0
1,2,0,37,0,37000000.0,2000000.0,1.0,1.0,0.0,24.66666667,1,1,0
512,1,1,54,109,318359.375,3906.25,512.0,0.0,0.0,72.33333333,0,0,0
3370875,4,0,24,0,7.119813105,1.186635517,1123625.0,1123625.0,0.0,6.0,0,1,1
192347,9,8,530,4441,25843.9175,88.38193473,12021.6875,24043.375,12364.42857,276.1666667,0,0,0
65443850,13,13,969,584,23.73026648,0.39728714,2617754.0,5084925.5,5445079.417,57.51851852,0,0,0
124535,4,4,132,368,4014.9355602843,64.2389689645,17790.7142857143,41467.3333333333,21009.3333333333,59.2222222222,0,0,0
194,2,2,70,102,886597.9381,20618.5567,64.66666667,46.0,48.0,41.4,0,0,0
41533,4,4,144,432,13868.49012,192.6179183,5933.285714,13792.66667,3496.333333,68.0,0,0,0
31002,2,2,54,178,7483.388169,129.0239339,10334.0,2.0,4.0,51.8,0,0,0
60291,2,2,66,130,3250.8998026239,66.3448939311,20097.0,3.0,3.0,45.8,0,0,0
3,2,0,0,0,0.0,666666.6667,3.0,3.0,0.0,0.0,0,1,0
6,1,1,6,6,2000000.0,333333.3333,6.0,0.0,0.0,6.0,0,1,0
48,2,0,4,0,83333.33333,41666.66667,48.0,48.0,0.0,2.0,0,0,0
30872,2,2,70,134,6607.929515,129.5672454,10290.66667,3.0,3.0,47.8,0,0,0
127,2,0,0,0,0.0,15748.0315,127.0,127.0,0.0,0.0,0,1,0
298,2,2,76,154,771812.0805,13422.81879,99.33333333,47.0,3.0,53.6,0,0,0
5785783,6,4,599,137,127.2083657,1.728374535,642864.7778,1157156.6,214049.6667,66.90909091,0,0,0
150390,18,25,200,480,4521.577233,285.9232662,3580.714286,8842.823529,6260.708333,15.45454545,0,0,0
150,2,2,72,136,1386666.667,26666.66667,50.0,4.0,3.0,48.8,0,0,0
75,1,1,6,6,160000.0,26666.6666666667,75.0,0.0,0.0,6.0,0,1,0
166,2,2,84,116,1204819.277,24096.38554,55.33333333,3.0,3.0,48.4,0,0,0
3,2,0,0,0,0.0,666666.6667,3.0,3.0,0.0,0.0,0,1,1
4034041,4,4,250,480,180.9599853,1.983123126,576291.5714,1344619.0,1344620.0,90.22222222,0,0,0
17,1,1,6,6,705882.352941177,117647.058823529,17.0,0.0,0.0,6.0,0,1,0
47129,2,2,72,270,7256.678478,84.87343249,15709.66667,2.0,2.0,75.6,0,0,0
62134182,17,14,2045,5392,119.6925712,0.498920224,2071139.4,3883386.375,4775561.615,232.40625,0,0,0
118374463,22,21,757,4082,40.87874933,0.363254024,2818439.595,5636879.19,5686557.4,109.9772727,0,0,0
121245,9,8,520,4181,38772.7328962019,140.2119675038,7577.8125,15155.625,11998.1428571429,261.1666666667,0,0,0
639,1,1,60,76,212832.55086072,3129.8904538341,639.0,0.0,0.0,65.3333333333,0,0,0
33,2,2,4,12,484848.4848,121212.1212,11.0,1.0,1.0,3.6,0,0,0
31622,1,1,45,150,6166.592878,63.24710644,31622.0,0.0,0.0,80.0,0,0,0
115919345,23,23,860,11507,106.6862481,0.396827639,2575985.444,5269061.136,5026550.409,263.1276596,0,0,0
55,1,2,0,0,0.0,54545.45455,27.5,0.0,48.0,0.0,0,1,0
71,1,1,0,0,0.0,28169.01408,71.0,0.0,0.0,0.0,0,1,0
121,1,1,0,0,0.0,16528.92562,121.0,0.0,0.0,0.0,0,1,0
45,1,1,2,6,177777.7778,44444.44444,45.0,0.0,0.0,3.333333333,0,0,1
277617,8,7,1737,4894,23885.42488,54.0312733,19829.78571,39659.57143,37362.16667,414.4375,0,0,0
48693,2,2,90,122,4353.808556,82.14733124,16231.0,3.0,3.0,51.4,0,0,0
65,3,0,0,0,0.0,46153.84615,32.5,32.5,0.0,0.0,0,1,0
116283098,18,15,870,1492,20.31249632,0.283790169,3633846.813,6840182.235,7930757.429,69.47058824,0,0,0
115976774,16,14,434,1773,19.0296722687,0.2586724821,3999199.10344828,7731784.93333333,8655280.61538462,71.1935483871,0,0,0
166960,3,5,432,2278,16231.43268,47.91566842,23851.42857,41656.5,21042.0,301.1111111,0,0,0
1136049,3,4,26,11607,10239.87522,6.161706053,189341.5,402.5,378678.6667,1454.125,0,0,1
72,2,2,4,12,222222.2222,55555.55556,24.0,49.0,48.0,3.6,0,0,0
90682,2,2,74,190,2911.272358,44.11018725,30227.33333,3.0,3.0,60.2,0,0,0
46494,1,4,581,53,13636.16811,107.5407579,11623.5,0.0,15470.66667,202.5,1,1,0
97873877,4,5,366,11595,122.2082987,0.091955078,12200000.0,32600000.0,8657.0,1196.7,0,0,1
181,2,2,90,172,1447513.812,22099.44751,60.33333333,3.0,3.0,61.4,0,0,0
60781,1,1,48,233,4623.155262,32.90501966,60781.0,0.0,0.0,109.6666667,0,0,0
190,2,2,116,244,1894736.842,21052.63158,63.33333333,4.0,48.0,83.6,0,0,0
65441443,2,2,120,205,4.966271908,0.061123347,21800000.0,65400000.0,64400000.0,76.2,0,0,0
85529046,7,6,416,11595,140.4318248,0.151995148,7127420.5,14200000.0,19085.2,857.9285714,0,1,1
45,1,1,6,6,266666.6667,44444.44444,45.0,0.0,0.0,6.0,0,1,0
110987189,4,4,160,580,6.667436185,0.072080391,15900000.0,37000000.0,37000000.0,87.22222222,0,0,0
154,2,2,62,94,1012987.013,25974.02597,51.33333333,3.0,4.0,37.4,0,0,0
159354,10,9,504,4575,31872.43496,119.2313968,8853.0,17706.0,14664.0,253.95,0,0,0
124,1,1,0,0,0.0,16129.03226,124.0,0.0,0.0,0.0,0,1,0
156,2,0,0,0,0.0,12820.51282,156.0,156.0,0.0,0.0,0,1,0
153,2,2,78,160,1555555.55555556,26143.7908496732,51.0,4.0,3.0,55.4,0,0,0
54,1,1,2,6,148148.1481,37037.03704,54.0,0.0,0.0,3.333333333,0,0,1
60750838,16,14,826,5278,100.4759803,0.493820349,2094856.483,4050055.867,4669214.231,196.9032258,0,0,0
46738,1,1,48,146,4150.798066,42.79173264,46738.0,0.0,0.0,80.66666667,0,0,0
5798419,11,8,348,5815,1062.875932,3.276755267,322134.3889,579841.9,23938.28571,308.15,0,0,0
156,2,2,4,12,102564.1026,25641.02564,52.0,3.0,1.0,3.6,0,0,0
7073167,1,5,6,30,5.089657858,0.84827631,1414633.4,0.0,1768210.25,6.0,0,1,0
66402,2,2,66,98,2469.805126,60.23914942,22134.0,3.0,3.0,39.4,0,0,0
209,2,0,0,0,0.0,9569.37799,209.0,209.0,0.0,0.0,0,1,0
85205107,7,7,360,11595,140.3084911,0.1643094,6554239.0,14200000.0,14200000.0,797.4,0,0,1
41,1,1,2,6,195121.9512,48780.4878,41.0,0.0,0.0,3.333333333,0,0,1
74315330,8,5,56,11607,156.9393556,0.17493026,6192944.167,10400000.0,424367.0,833.5,0,1,1
5040421,7,4,635,168,159.3120892,2.182357386,504042.1,840070.1667,49938.66667,66.91666667,0,0,0
43725560,5,2,334,299,14.4766585,0.160089431,7287593.333,10900000.0,51503.0,79.125,0,0,0
59629,2,2,68,132,3354.072683,67.08145366,19876.33333,3.0,3.0,46.8,0,0,0
4083352,5,1,123,46,41.3875659,1.469381038,816670.4,1020838.0,0.0,30.71428571,1,1,0
30887,1,1,56,72,4144.138311,64.7521611,30887.0,0.0,0.0,61.33333333,0,0,0
23145,1,1,37,122,6869.734284,86.411752,23145.0,0.0,0.0,65.33333333,0,0,0
199,2,2,170,234,2030150.754,20100.50251,66.33333333,3.0,48.0,97.8,0,0,0
56,1,1,6,6,214285.714285714,35714.2857142857,56.0,0.0,0.0,6.0,0,1,0
85040,5,5,2739,153,34007.52587,117.5917215,9448.888889,21216.0,11742.5,262.9090909,0,0,0
119638,2,2,72,242,2624.584162,33.43419315,39879.33333,1.0,3.0,70.0,0,0,0
154,2,2,64,96,1038961.03896104,25974.025974026,51.3333333333,3.0,3.0,38.4,0,0,0
83783244,5,10,11613,68,139.4192853,0.179033412,5984517.429,20900000.0,9127066.111,730.4375,0,1,0
30626,2,2,68,318,12603.6700842421,130.6079801476,10208.6666666667,3.0,4.0,84.0,0,0,0
47342,1,1,49,148,4161.209919,42.24578598,47342.0,0.0,0.0,82.0,0,0,0
5124059,3,1,12,0,2.341893409,0.780631136,1708019.667,2562029.5,0.0,2.4,0,0,0
90,2,2,4,12,177777.7778,44444.44444,30.0,48.0,3.0,3.6,0,0,0
24981,4,4,172,428,24018.25387,320.243385,3568.714286,8265.666667,91.33333333,71.44444444,0,0,0
11576407,6,4,315,3525,331.7091391,0.863825883,1286267.444,1315408.4,3525687.333,349.0909091,0,0,1
698538,2,0,12,0,17.1787361604,2.8631226934,698538.0,698538.0,0.0,6.0,0,1,0
50590,2,2,180,308,9646.175133,79.06700929,16863.33333,48.0,48.0,115.6,0,0,0
49,2,0,4,0,81632.65306,40816.32653,49.0,49.0,0.0,2.0,0,0,0
35801,4,4,196,416,17094.49457,223.4574453,5114.428571,11871.0,3856.666667,73.44444444,0,0,0
3,3,0,18,0,6000000.0,1000000.0,1.5,1.5,0.0,6.0,0,1,0
45,1,1,0,6,133333.3333,44444.44444,45.0,0.0,0.0,2.0,0,0,1
5937847,9,6,373,4467,815.110258,2.526168155,424131.9286,742230.875,22550.8,302.5,0,0,0
49,2,0,0,0,0.0,40816.3265306122,49.0,49.0,0.0,0.0,0,1,0
77676,1,1,56,272,4222.668521,25.74797878,77676.0,0.0,0.0,128.0,0,0,0
376981,3,6,26,11607,30858.31912,23.87388224,47122.625,404.5,75374.0,1163.3,0,0,1
19,4,0,259,0,13600000.0,210526.3158,6.333333333,6.333333333,0.0,53.0,0,1,0
185610,3,6,338,11595,64290.71709,48.48876677,23201.25,6071.5,37111.8,1193.3,0,0,1
1997,4,0,6,0,3004.50676,2003.004507,665.6666667,665.6666667,0.0,1.2,0,1,1
61252,2,2,60,264,5289.6231959773,65.3039900738,20417.3333333333,3.0,49.0,70.8,0,0,0
4,2,0,0,0,0.0,500000.0,4.0,4.0,0.0,0.0,0,1,1
847,2,2,76,122,233766.2338,4722.550177,282.3333333,1.0,3.0,47.2,0,0,0
173828,1,1,0,0,0.0,11.50562625,173828.0,0.0,0.0,0.0,0,1,0
31788,4,2,280,296,18120.0453,188.7504719,6357.6,10439.33333,49.0,92.28571429,0,0,0
13996,4,1,24,0,1714.77565,357.2449271,3499.0,4665.333333,0.0,5.0,0,0,1
25,12,0,600,0,24000000.0,480000.0,2.272727273,2.272727273,0.0,50.0,0,0,0
46,2,0,0,0,0.0,43478.26087,46.0,46.0,0.0,0.0,0,1,0
31036,1,1,48,132,5799.716458,64.44129398,31036.0,0.0,0.0,76.0,0,0,0
3,2,0,0,0,0.0,666666.6667,3.0,3.0,0.0,0.0,0,1,1
47892,2,2,70,692,15910.7993,83.52125616,15964.0,3.0,4.0,159.4,0,0,0
24443,2,2,72,128,8182.301681,163.6460336,8147.666667,1.0,47.0,47.2,0,0,0
89,1,1,0,6,67415.73034,22471.91011,89.0,0.0,0.0,2.0,0,0,1
60,1,1,6,6,200000.0,33333.3333333333,60.0,0.0,0.0,6.0,0,1,0
32180,1,1,53,69,3791.1746426352,62.1504039776,32180.0,0.0,0.0,58.3333333333,0,0,0
78,2,0,12,0,153846.153846154,25641.0256410256,78.0,78.0,0.0,6.0,0,1,0
144076,2,2,72,358,2984.535939,27.76312502,48025.33333,3.0,4.0,93.2,0,0,0
2005403,1,5,6,30,17.95150401,2.991917335,401080.6,0.0,500994.0,6.0,0,1,0
63162872,11,10,614,503,17.68443968,0.332473799,3158143.6,5411749.2,7012458.0,50.77272727,0,0,0
43,1,1,0,6,139534.8837,46511.62791,43.0,0.0,0.0,2.0,0,0,1
5567440,10,7,347,5042,967.9493627233,3.0534680212,347965.0,618604.444444445,66043.1666666667,299.3888888889,0,0,0
175,2,2,82,114,1120000.0,22857.14286,58.33333333,3.0,49.0,47.4,0,0,0
258,2,0,0,0,0.0,7751.937984,258.0,258.0,0.0,0.0,0,1,1
234031,1,1,43,106,636.6677919,8.545876401,234031.0,0.0,0.0,64.0,0,0,0
11,1,1,2,6,727272.7273,181818.1818,11.0,0.0,0.0,3.333333333,0,0,1
148,1,1,6,6,81081.08108,13513.51351,148.0,0.0,0.0,6.0,0,1,0
196,2,1,37,6,219387.7551,15306.12245,98.0,196.0,0.0,20.0,1,1,0
98,1,1,2,6,81632.65306,20408.16327,98.0,0.0,0.0,3.333333333,0,0,1
153,2,2,80,112,1254901.961,26143.79085,51.0,3.0,3.0,46.4,0,0,0
45,3,1,43,6,1088888.889,88888.88889,15.0,2.0,0.0,11.0,0,1,0
115471111,16,14,514,1780,19.86644088,0.259805243,3981762.448,7698074.067,8491190.462,74.0,0,0,0
76,1,1,2,6,105263.1579,26315.78947,76.0,0.0,0.0,3.333333333,0,0,1
354,2,2,70,166,666666.6667,11299.43503,118.0,47.0,3.0,54.2,0,0,0
8852234,9,15,103,188,32.87305781,2.711180025,384879.7391,672183.25,632295.9286,11.64,0,0,1
